Maker, Genmodel,Color,Reg_year,Bodytype,Mileage,Engin_size,Gearbox,Fuel_type,Price,Engine_power,Annual_Tax,Wheelbase,Height,Width,Length,Average_liter_per_100_kilometer,Top_speed_kph,Seat_num,Door_num
Bentley,Continental,Blue,2015.0,Coupe,27519.714,6.0L,Automatic,Petrol,111752.9411764706,626.0,652.9411764705883,2746.0,1394.0,2227.0,4806.0,12.062307692307693,331.52404,4.0,2.0
Bentley,Continental,Grey,2013.0,Coupe,23930.8858,4.0L,Automatic,Petrol,94058.82352941176,500.0,635.2941176470589,2746.0,1404.0,1944.0,4806.0,8.744052044609665,302.55592,4.0,2.0
Bentley,Continental,Blue,2014.0,Convertible,16552.0619,6.0L,Automatic,Petrol,109352.9411764706,626.0,652.9411764705883,2746.0,1394.0,2227.0,4806.0,12.379736842105263,326.69602,4.0,2.0
Bentley,Continental,Grey,2011.0,Coupe,82076.34,6.0L,Automatic,Petrol,69405.88235294117,567.0,652.9411764705883,2746.0,1404.0,2227.0,4806.0,12.062307692307693,317.03998,4.0,2.0
Bentley,Continental,Orange,2016.0,Convertible,15190.56026,6.0L,Automatic,Petrol,141170.58823529413,626.0,652.9411764705883,2746.0,1394.0,2227.0,4806.0,12.379736842105263,326.69602,4.0,2.0
Bentley,Continental,Blue,2015.0,Convertible,14484.06,4.0L,Automatic,Petrol,123500.0,521.0,652.9411764705883,2746.0,1404.0,2227.0,4806.0,9.081660231660232,307.38394,4.0,2.0
Bentley,Continental,Blue,2014.0,Convertible,21854.8372,6.0L,Automatic,Petrol,105294.11764705884,626.0,652.9411764705883,2746.0,1394.0,2227.0,4806.0,12.379736842105263,326.69602,4.0,2.0
Bentley,Continental,Blue,2015.0,Convertible,30450.32214,4.0L,Automatic,Petrol,123470.58823529413,500.0,635.2941176470589,2746.0,1404.0,2227.0,4806.0,9.081660231660232,307.38394,4.0,2.0
Bentley,Continental,Silver,2016.0,Coupe,12367.7779,4.0L,Automatic,Petrol,123517.64705882354,521.0,635.2941176470589,2746.0,1404.0,2227.0,4806.0,8.776679104477612,308.99328,4.0,2.0
Bentley,Continental,Black,2013.0,Convertible,24944.77,4.0L,Automatic,Petrol,94058.82352941176,500.0,635.2941176470589,2746.0,1404.0,1944.0,4806.0,9.081660231660232,300.94658,4.0,2.0
Bentley,Continental,Grey,2015.0,Coupe,70006.29,6.0L,Automatic,Petrol,94111.76470588236,626.0,652.9411764705883,2746.0,1394.0,2227.0,4806.0,12.062307692307693,331.52404,4.0,2.0
Bentley,Continental,Grey,2015.0,Coupe,6113.88266,6.0L,Automatic,Petrol,115282.35294117648,626.0,652.9411764705883,2746.0,1394.0,2227.0,4806.0,12.062307692307693,331.52404,4.0,2.0
Bentley,Continental,Grey,2015.0,Coupe,13949.75912,6.0L,Automatic,Petrol,110529.41176470587,626.0,652.9411764705883,2746.0,1394.0,2227.0,4806.0,12.062307692307693,331.52404,4.0,2.0
Bentley,Continental,Black,2015.0,Coupe,15071.4691,6.0L,Automatic,Petrol,111705.88235294116,626.0,652.9411764705883,2746.0,1394.0,2227.0,4806.0,12.062307692307693,331.52404,4.0,2.0
Bentley,Continental,White,2015.0,Convertible,14419.6864,4.0L,Automatic,Petrol,133994.11764705885,521.0,652.9411764705883,2746.0,1404.0,2227.0,4806.0,9.081660231660232,307.38394,4.0,2.0
